Dataset Name,Algorithm Name,Cross Validation,Hyper Parameters,Mean Squared Error,Mean Absolute Error,Median Absolute Error,r2 Score,Explained Variance Score,Training Time,Inference Time
analcatdata_chlamydia.csv,MERCS,1,nb_iterations:5 regressor_algorithm:DT max_depth:12,17618530.6,2452,865.5,0.910561617,0.913874163,2248.87538,0
analcatdata_chlamydia.csv,MERCS,2,nb_iterations:5 regressor_algorithm:RF max_depth:6,1614507.77,841.9661653,387.3956722,0.120293659,0.487007189,6577.115059,9048.128128
analcatdata_chlamydia.csv,MERCS,3,nb_iterations:5 regressor_algorithm:RF max_depth:6,121792210,4725.16018,358.0467623,0.664355146,0.72341176,6028.876781,8314.990997
analcatdata_chlamydia.csv,MERCS,4,nb_iterations:5 regressor_algorithm:RF max_depth:6,30200542.67,2448.364233,242.9789714,-0.767162775,-0.50648738,6811.320543,4844.975471
analcatdata_chlamydia.csv,MERCS,5,nb_iterations:5 regressor_algorithm:RF max_depth:6,191689.4687,335.6305499,302.9247357,0.592286963,0.651009282,6117.273331,6897.02034
analcatdata_chlamydia.csv,MERCS,6,nb_iterations:5 regressor_algorithm:RF max_depth:6,1148548.035,720.6086579,288.9833716,0.515819435,0.558875409,6246.420383,4583.525658
analcatdata_chlamydia.csv,MERCS,7,nb_iterations:5 regressor_algorithm:RF max_depth:6,1667665.15,733.2239043,77.81314141,0.857876424,0.90134556,6309.274912,8675.551414
analcatdata_chlamydia.csv,MERCS,8,nb_iterations:5 regressor_algorithm:RF max_depth:6,6614531.299,1451.308248,890.3839357,-0.728902727,-0.355567517,6453.402281,3891.420364
analcatdata_chlamydia.csv,MERCS,9,nb_iterations:5 regressor_algorithm:RF max_depth:6,6169701.054,1187.311194,153.4420324,0.953156625,0.953664706,6145.264387,6318.926811
analcatdata_chlamydia.csv,MERCS,10,nb_iterations:5 regressor_algorithm:RF max_depth:6,32800890.67,3428.462978,347.4226711,0.122268079,0.278476516,5719.677448,3128.600121
analcatdata_election2000.csv,MERCS,1,nb_iterations:5 regressor_algorithm:DT max_depth:12,3811909939,46596.22857,31946.4,0.143413001,0.325146787,6726.457119,295.9115165
